,city,temp,max temp,humidity,cloudiness,wind speed,lat,lon,city country,city datetime
300,swift current,60.87,63,87,75,4.7,31.62,-94.48,US,1575677975
302,jimenez,68,68,70,80,4,8.54,-82.37,PA,1575677976
303,linjiang,2.1,2.1,98,97,3.06,41.81,126.91,CN,1575677977
304,ambon,51.6,53.01,93,90,8.05,47.55,-2.56,FR,1575677977
306,lokachi,28,28,83,98,9.57,50.74,24.65,UA,1575677979
307,bethel,20.7,26.6,92,90,19.46,60.79,-161.76,US,1575677979
308,upington,69.8,69.8,73,29,8.05,-28.46,21.24,ZA,1575677980
309,pisco,70.41,71.6,30,25,24.16,-13.71,-76.2,PE,1575677980
310,mehamn,28.4,28.4,86,90,12.75,71.03,27.85,NO,1575677710
311,otukpo,76.6,76.6,37,16,3.15,7.19,8.13,NG,1575677982
312,lakeside,61.02,64.99,63,75,6.91,32.86,-116.92,US,1575677982
313,boende,70.03,70.03,98,100,3.09,-0.28,20.88,CD,1575677983
315,mitake,40.62,45,60,90,3.36,35.79,139.17,JP,1575677984
317,katobu,87.91,87.91,57,94,3.09,-4.94,122.53,ID,1575677985
318,senno,39.2,39.2,86,100,13.42,57.76,27.95,RU,1575677986
319,canico,62.13,64.4,68,75,18.34,32.63,-16.85,PT,1575677987
320,kerema,92.34,92.34,49,50,2.77,-7.96,145.78,PG,1575677987
321,jackson,30.74,34,79,40,3.36,43.48,-110.76,US,1575677954
322,manggar,82.2,82.2,77,100,11.99,-2.88,108.27,ID,1575677989
323,bambous virieux,73.74,73.99,94,20,5.82,-20.26,57.41,MU,1575677989
324,wadena,12.07,12.07,86,48,4.76,51.95,-103.8,CA,1575677990
325,rongcheng,34.43,34.43,48,0,8.72,37.16,122.42,CN,1575677990
327,korgen,30.06,30.2,92,100,3.36,66.08,13.83,NO,1575677992
328,poya,75.74,75.74,83,76,13.09,-21.35,165.16,NC,1575677992
329,gao,72.54,72.54,12,100,7.58,16.28,-0.04,ML,1575677993
330,manaus,76.96,78.8,88,61,2.24,-3.13,-59.98,BR,1575677993
332,nouadhibou,64.4,64.4,82,0,18.34,20.93,-17.03,MR,1575677995
333,nipawin,6.8,6.8,92,1,5.82,53.36,-104.02,CA,1575677995
334,ulladulla,74.1,75,40,33,6.93,-35.36,150.48,AU,1575677996
335,kiunga,85.05,85.05,72,89,1.34,-6.12,141.3,PG,1575677996
337,petropavlovsk-kamchatskiy,23,23,57,0,8.95,53.05,158.65,RU,1575677998
338,prince rupert,16.74,21,92,40,6.93,52.97,-108.38,CA,1575677999
339,faya,56.32,57.2,93,1,4.7,18.39,42.45,SA,1575677999
340,alta floresta,21.61,24.01,85,97,5.82,69.97,23.27,NO,1575678000
341,talnakh,3.2,3.2,84,40,20.13,69.49,88.39,RU,1575678000
342,coloso,78.75,78.75,90,90,6.42,9.49,-75.36,CO,1575678001
343,salinopolis,81.84,81.84,81,9,17.22,-0.61,-47.36,BR,1575678002
345,meadow lake,46.36,46.99,93,75,12.75,54.18,-6.35,GB,1575678003
346,micheweni,82.72,82.72,76,70,7.43,-4.97,39.83,TZ,1575678004
347,tvedestrand,43.14,44.6,100,100,3.36,58.62,8.93,NO,1575678004
349,chumikan,-20.34,-20.34,83,31,3.91,54.72,135.31,RU,1575678005
351,boa esperanca,76.15,76.15,88,57,1.48,4.43,8.97,CM,1575678007
352,norman wells,43.3,46,70,1,8.05,35.22,-97.44,US,1575677809
353,vanimo,82.02,82.02,78,82,5.77,-2.67,141.3,PG,1575678008
354,baft,37.76,37.76,65,0,3.8,29.23,56.61,IR,1575678009
355,shieli,24.1,24.1,65,0,5.35,44.18,66.74,KZ,1575678009
356,santiago de cao,68.72,68.72,96,100,1.92,16.69,121.54,PH,1575678010
357,sawtell,81.45,84,61,90,17.22,-30.38,153.1,AU,1575678010
358,evensk,10.54,10.54,77,100,15.7,61.92,159.24,RU,1575678011
359,bintulu,75.07,75.2,94,75,2.24,3.17,113.03,MY,1575678012
361,vorontsovka,31.06,31.06,94,11,13.18,50.61,40.34,RU,1575678013
363,tual,83.66,83.66,76,59,6.15,-5.67,132.75,ID,1575678014
364,maumere,85.51,85.51,54,98,1.68,-8.63,122.22,ID,1575678015
365,krasnoyarskiy,31.86,31.86,87,100,24.14,51.97,59.9,RU,1575678015
366,axim,76.12,76.12,87,64,2.86,4.87,-2.24,GH,1575678016
368,hofn,32.76,32.76,58,0,11.43,64.25,-15.21,IS,1575678017
369,izhma,-0.11,-0.11,97,56,3.11,65.01,53.91,RU,1575678018
370,fort saint john,62.4,62.4,85,22,1.14,17.96,79.61,IN,1575677855
371,kavieng,85.33,85.33,73,84,10.29,-2.57,150.8,PG,1575678019
372,ngunguru,80.01,80.01,70,45,3,-35.62,174.5,NZ,1575678020
373,cubuk,22.05,27,85,20,1.48,40.24,33.03,TR,1575677881
374,kirakira,81.07,81.07,73,99,5.5,-10.46,161.92,SB,1575678022
376,koupela,71.8,71.8,18,72,1.61,12.18,-0.35,BF,1575678023
377,basse-pointe,78.8,78.8,83,75,10.29,14.87,-61.12,MQ,1575678023
378,fukue,42.75,44.6,58,75,5.82,35.03,136.69,JP,1575678024
380,xining,12.45,12.45,42,16,6.08,36.62,101.77,CN,1575678025
381,tawau,75.07,75.2,100,75,2.57,4.26,117.89,MY,1575678026
382,camocim,76.82,76.82,83,0,4.25,-2.9,-40.84,BR,1575678027
383,tilichiki,8.78,8.78,88,100,11.7,60.47,166.1,RU,1575678027
384,egvekinot,2.34,2.34,93,42,15.26,66.32,-179.17,RU,1575678028
385,richards bay,22.73,24.8,85,40,13.87,46.84,-95.91,US,1575678028
386,lodja,67.62,67.62,97,100,0.89,-3.52,23.6,CD,1575678029
387,brigantine,47.53,50,75,90,11.41,39.41,-74.36,US,1575677744
388,erenhot,17.04,17.04,60,0,7.27,43.65,111.97,CN,1575678030
389,rincon,68,68,69,80,14,8.46,-82.28,PA,1575678031
390,kot samaba,53.6,53.6,93,40,3.36,28.33,77.17,IN,1575678031
391,cabo san lucas,44.08,52,93,75,5.82,43.18,-5.8,ES,1575678032
392,suslovo,17.65,17.65,79,85,16.33,56.22,88.12,RU,1575678033
393,tecoanapa,82.4,82.4,69,40,5.82,16.99,-99.26,MX,1575678033
394,gorin,75.06,75.06,18,100,8.21,12.34,-0.67,BF,1575678034
395,sao filipe,61.97,61.97,57,47,4,20.51,76.21,IN,1575678035
396,kilindoni,82.67,82.67,75,15,4.94,-7.91,39.67,TZ,1575678035
397,sioux lookout,16.41,23,73,75,5.26,46.74,-90.88,US,1575678036
398,hokitika,60.08,60.08,86,100,7.34,-42.72,170.96,NZ,1575678036
399,takab,32.32,32.32,81,93,5.84,36.4,47.11,IR,1575678037
400,rexburg,34.36,35.6,74,90,6.93,43.82,-111.79,US,1575678038
401,astana,26.6,26.6,92,90,31.32,51.13,71.43,KZ,1575678038
402,samoded,29.3,29.3,95,87,3.09,63.61,40.52,RU,1575678039
404,bemidji,20.39,21.99,85,90,5.82,47.48,-94.89,US,1575678040
405,sabang,79,79,84,28,3,13.8,121.11,PH,1575678041
407,awbari,63.66,63.66,25,93,10.31,26.59,12.77,LY,1575678042
408,quelimane,74.46,74.46,78,33,2.44,-17.88,36.89,MZ,1575678043
409,gold coast,45.25,50,70,1,3.36,35.79,-81.76,US,1575678043
410,north bend,77.18,77.18,87,47,5.55,4.97,7.66,NG,1575678044
411,fort abbas,62.4,62.4,85,22,1.14,17.96,79.61,IN,1575677855
412,saint-joseph,44.65,54,93,27,3.36,43.56,6.97,FR,1575678045
413,smolenka,34.29,34.29,66,100,12.24,54.15,22.76,PL,1575678046
414,denizli,28.4,28.4,79,0,8.05,37.77,29.09,TR,1575678034
415,ahipara,78.01,78.01,100,72,14.45,-35.17,173.16,NZ,1575678047
416,krasnomayskiy,21.2,21.2,85,90,15.66,55,82.52,RU,1575678048
